time,time_sec,signal,pred_signal_linreg,residuals,FT_1,FT_2,FT_3,FT_4,FT_5,FT_6,FT_All,weekDate
2024-05-22 23:00:00,1897200.0,42,65.6764992811112,-23.676499281111205,-10716.803258329832,1036.097035487933,2657.1311119309476,1202.278007496001,-1195.7388936623975,-1802.805406845901,-8819.841403923248,2
2024-05-23 00:00:00,1900800.0,17,65.66667418918736,-48.66667418918736,-14864.434089792674,-1817.9731853960475,2710.1590891760534,-2137.304418066874,-1820.9279259788716,278.4337893646448,-17652.046740693768,3
2024-05-23 01:00:00,1904400.0,3,65.65684909726352,-62.65684909726352,-17999.078302675367,-4184.918959391999,2758.3555425544564,-2308.628184650993,-2017.9017179883554,1658.6774718706317,-22093.494150281625,3
2024-05-23 02:00:00,1908000.0,2,65.64702400533967,-63.647024005339674,-19907.115074113935,-5430.519077829097,2801.634550056736,942.2705335705397,-1740.3392822008154,-1137.0284281698953,-24471.096778686468,3
2024-05-23 03:00:00,1911600.0,1,65.63719891341583,-64.63719891341583,-20458.5148513147,-5221.015994880095,2839.918956227883,2796.3833041049584,-1053.5130895610102,-1070.10824780392,-22166.84992322688,3
2024-05-23 04:00:00,1915200.0,3,65.62737382149199,-62.627373821491986,-19615.700650692757,-3612.5458924329655,2873.140509715836,505.24397944769015,-118.93938622804292,1690.9572178757862,-18277.844222314452,3
2024-05-23 05:00:00,1918800.0,12,65.61754872956814,-53.61754872956814,-17436.108867204053,-1036.0970354879917,2901.2399849462686,-2534.8497754960467,843.6044839242553,194.80438292425723,-17067.406826393308,3
2024-05-23 06:00:00,1922400.0,39,65.60772363764431,-26.607723637644312,-14068.27507894761,1817.9731853962876,2924.167287706724,-1817.3787761922106,1607.7636230535031,-1791.7953866162716,-11327.545145599579,3
2024-05-23 07:00:00,1926000.0,82,65.59789854572047,16.40210145427953,-9741.711592985153,4184.91895939196,2941.8815444518314,1594.105296608949,1993.8359217425427,732.6971590420046,1705.7272882521343,3
2024-05-23 08:00:00,1929600.0,136,65.58807345379662,70.41192654620338,-4751.266560899885,5430.519077829086,2954.3511751704445,2642.548397514408,1911.031382320199,1412.5234285111042,9599.706900445357,3
2024-05-23 09:00:00,1933200.0,113,65.57824836187278,47.42175163812722,562.9694354714925,5221.015994880011,2961.55394968476,-226.22159084512646,1378.822585354529,-1463.8730889463789,8434.267285599288,3
2024-05-23 10:00:00,1936800.0,113,65.56842326994894,47.43157673005106,5838.839995165909,3612.5458924330105,2963.4770272810692,-2759.6493097626317,522.3654552699647,-654.7669584463368,9522.812101940986,3
2024-05-23 11:00:00,1940400.0,81,65.5585981780251,15.441401821974907,10716.803258329643,1036.09703548805,2960.1169796014783,-1202.278007496138,-456.93280749493505,1802.8054068459085,14856.611865274006,3
2024-05-23 12:00:00,1944000.0,110,65.54877308610125,44.45122691389875,14864.434089792921,-1817.9731853962314,2951.4797967558025,2137.304418066776,-1328.777288496118,-278.4337893647133,16528.034041358434,3
2024-05-23 13:00:00,1947600.0,94,65.5389479941774,28.461052005822594,17999.07830267526,-4184.918959391921,2937.5808766427194,2308.6281846510788,-1888.1422485948144,-1658.6774718706035,15513.54868411172,3
2024-05-23 14:00:00,1951200.0,107,65.52912290225356,41.47087709774644,19907.115074113884,-5430.519077829075,2918.4449974992403,-942.2705335703972,-2003.4856331107383,1137.0284281699494,15586.313255272866,3
2024-05-23 15:00:00,1954800.0,104,65.51929781032972,38.48070218967028,20458.51485131469,-5221.015994880031,2894.106273727419,-2796.3833041049443,-1647.6829224988576,1070.108247803864,14757.647151362138,3
2024-05-23 16:00:00,1958400.0,106,65.50947271840587,40.490527281594126,19615.700650692655,-3612.545892432818,2864.608095077048,-505.24397944752513,-904.4058211977987,-1690.9572178758112,15767.15583481575,3
2024-05-23 17:00:00,1962000.0,117,65.49964762648203,51.50035237351797,17436.10886720417,-1036.0970354881088,2830.003049292791,2534.8497754961186,51.5542482394464,-194.80438292418827,21621.614521820225,3
2024-05-23 18:00:00,1965600.0,128,65.48982253455819,62.510177465441814,14068.27507894777,1817.9731853961753,2790.3528283636097,1817.3787761920826,995.3906556229981,1791.7953866162609,23281.165911138898,3
2024-05-23 19:00:00,1969200.0,87,65.47999744263434,21.520002557365657,9741.711592984837,4184.918959392087,2745.7281185416523,-1594.1052966088243,1705.1478099423182,-732.697159042068,16050.704025210001,3
2024-05-23 20:00:00,1972800.0,67,65.4701723507105,1.5298276492895013,4751.2665609001,5430.519077829064,2696.208474326662,-2642.548397514459,2013.9169466821552,-1412.5234285110607,10836.839233712464,3
2024-05-23 21:00:00,1976400.0,60,65.46034725878665,-5.460347258786655,-562.9694354712719,5221.015994880051,2641.8821766405317,226.22159084497574,1849.0869272015577,1463.8730889464196,10839.110343042263,3
2024-05-23 22:00:00,1980000.0,54,65.45052216686281,-11.450522166862811,-5838.839995166254,3612.5458924328627,2582.8460754449193,2759.6493097626044,1249.419706542622,654.766958446272,5020.387947463026,3
2024-05-23 23:00:00,1983600.0,32,65.44069707493897,-33.44069707493897,-10716.803258329453,1036.0970354881672,2519.2054170823963,1202.2780074959862,355.9349479963322,-1802.805406845916,-7406.093257112489,3
